start	end	class	strand	gene	start2	end2
8526	9207	CDS	1	ATP6	8526	9207
8365	8572	CDS	1	ATP8	8365	8572
5903	7445	CDS	1	COX1	5903	7445
7585	8269	CDS	1	COX2	7585	8269
9206	9990	CDS	1	COX3	9206	9990
14746	15887	CDS	1	CYTB	14746	15887
0	576	Dloop	1	D-loop1	0	576
16023	16569	Dloop	1	D-loop2	16023	16569
3306	4262	CDS	1	ND1	3306	4262
4469	5511	CDS	1	ND2	4469	5511
10058	10404	CDS	1	ND3	10058	10404
10759	12137	CDS	1	ND4	10759	12137
10469	10766	CDS	1	ND4L	10469	10766
12336	14148	CDS	1	ND5	12336	14148
14148	14673	CDS	-1	ND6	9207	8526
647	1601	rRNA	1	RNR1	14148	14673
1670	3229	rRNA	1	RNR2	647	1601
5586	5655	tRNA	-1	TRNA	8572	8365
5760	5826	tRNA	-1	TRNC	7445	5903
7517	7585	tRNA	1	TRND	1670	3229
14673	14742	tRNA	-1	TRNE	8269	7585
576	647	tRNA	1	TRNF	5586	5655
9990	10058	tRNA	1	TRNG	5760	5826
12137	12206	tRNA	1	TRNH	7517	7585
4262	4331	tRNA	1	TRNI	14673	14742
8294	8364	tRNA	1	TRNK	576	647
3229	3304	tRNA	1	TRNL1	9990	10058
12265	12336	tRNA	1	TRNL2	12137	12206
4401	4469	tRNA	1	TRNM	4262	4331
5656	5729	tRNA	-1	TRNN	9990	9206
15955	16023	tRNA	-1	TRNP	15887	14746
4328	4400	tRNA	-1	TRNQ	576	0
10404	10469	tRNA	1	TRNR	8294	8364
7445	7514	tRNA	-1	TRNS1	16569	16023
12206	12265	tRNA	1	TRNS2	3229	3304
15887	15953	tRNA	1	TRNT	12265	12336
1601	1670	tRNA	1	TRNV	4401	4469
5511	5579	tRNA	1	TRNW	5656	5729
5825	5891	tRNA	-1	TRNY	4262	3306
